timestamp,visitorid,event,itemid,transactionid
1430789358447,724508,view,366551,
1430788081787,886786,view,330229,
1430789696497,903818,view,334366,
1430788175615,163561,view,359682,
1430787110994,332991,view,4001,
1430787654811,345818,view,135607,
1430789095136,644985,view,47524,
1430787317181,1361337,view,26487,
1430789043599,94782,view,108992,
1430788420587,422604,view,150268,
1430788172536,697692,view,146448,
1430788429448,380825,view,249657,
1430788868103,219739,view,5344,
1430790493945,1266733,view,399914,
1430788401666,243221,view,145908,
1430788169713,163561,view,310578,
1430785940612,1032947,view,65889,
1430787130902,332950,view,300967,
1430789460062,1292609,view,274974,
1430788872164,403374,view,7943,
1430786739207,446731,view,447661,
1430788872711,58332,view,439186,
1430787593725,266567,view,216749,
1430787095026,1255995,view,3780,
1430787960136,539129,view,280754,
1430787417465,808201,view,412409,
1430788165591,163561,view,344862,
1430790171603,412899,view,368063,
1430789903682,833657,view,36083,
1430790431188,825792,view,201955,
1430790091121,618688,view,5905,
1430789398414,1011205,view,418922,
1430786506264,1218254,view,421337,
1430789597432,807466,view,85327,
1430787895344,1087039,view,19976,
1430786264283,740123,view,219319,
1430787195587,974562,view,111097,
1430786015530,609499,addtocart,227790,
1430788160934,151199,view,378727,
1430786823947,988861,view,228050,
1430786522019,125425,view,158564,
1430786016046,155797,view,455857,
1430788506283,1076076,view,340108,
1430788158352,407410,view,308378,
1430786247684,215180,view,102838,
1430788004762,888003,view,193359,
1430788756280,342805,view,301451,
1430787426774,1117484,view,113523,
1430788157288,1214998,view,173300,
1430787802918,210928,view,436342,
1430788004215,487990,view,256827,
1430786570651,899688,view,91267,
1430789900933,71089,view,373384,
1430786067221,587057,view,107857,
1430787662077,1090506,view,128915,
1430789525436,224819,view,18726,
1430788003775,196253,view,235796,
1430787526094,130168,view,387373,
1430787049447,462034,view,375139,
1430789299252,775131,view,339736,
1430786146916,643542,view,346394,
1430787432935,326911,view,291526,
1430788985170,720342,view,441734,
1430788389244,1081061,view,82662,
1430788274395,539499,view,148545,
1430790548464,183196,view,274242,
1430786104787,73680,view,184655,
1430788987492,29227,view,319099,
1430787606930,1005223,view,304081,
1430787533455,653672,view,19862,
1430789998382,1321905,view,112729,
1430787872347,1005223,transaction,304081,17318.0
1430788268307,163561,view,466319,
1430790313385,981960,view,230884,
1430788429025,1187249,view,310736,
1430788267937,216609,view,402951,
1430789776282,725871,view,463617,
1430788389654,25466,view,419574,
1430788989986,1314233,view,373298,
1430786311079,674858,view,251836,
1430786148058,876376,view,305503,
1430790442233,209619,view,422223,
1430790259573,505157,view,317361,
1430781316261,833815,view,46232,
1430782816539,926880,view,49881,
1430781544167,414122,addtocart,443784,
1430784435587,1043664,view,294267,
1430781961835,1081898,view,243355,
1430784657563,314886,view,342269,
1430784426461,626394,view,425270,
1430784662318,276791,view,226255,
1430785441184,1069214,view,272421,
1430785071906,99319,view,229555,
1430781433183,1002142,view,237891,
1430785445066,737912,view,99984,
1430782809577,506529,view,315900,
1430785449555,99319,addtocart,108220,
1430782808101,924338,view,456889,
1430782566327,455828,view,292240,
1430785105342,77721,view,247816,
1430785744606,239699,view,118091,
1430781046901,1327737,view,444763,
1430785341253,1143875,view,57593,
1430784365419,626394,view,229263,
1430785465561,1301569,view,165302,
1430781967642,286849,view,230911,
1430784351498,941341,view,354265,
1430784348873,1191973,view,133968,
1430785688685,1077858,addtocart,396873,
1430782557816,824897,view,126125,
1430784345599,1307235,view,57788,
1430785336907,703442,view,240534,
1430784708569,1193141,view,414947,
1430784708585,183720,view,347605,
1430782796998,270637,view,103961,
1430781411019,282475,view,424515,
1430785477914,89754,view,367434,
1430782928301,31297,view,363368,
1430782860301,1329653,view,238650,
1430781408742,295674,view,53288,
1430782355086,710338,view,168224,
1430785331212,341092,view,262638,
1430785484338,1301569,view,49576,
1430781243466,722713,view,270730,
1430784307979,1010050,view,227092,
1430785163454,1190775,view,319992,
1430782527488,624298,view,50385,
1430784296052,99319,addtocart,463766,
1430784293920,757317,view,259755,
1430784288470,388216,view,336775,
1430780882216,72933,view,258089,
1430781623533,409178,view,151444,
1430784275126,1315250,view,122851,
1430785159582,83069,view,453537,
1430784274107,8639,view,229094,
1430781627214,1037231,view,229857,
1430784265846,757317,view,180588,
1430784256413,910991,view,245591,
1430781391269,510188,view,341726,
1430785112686,99319,addtocart,229555,
1430782608096,844244,view,244845,
1430781639874,409178,view,161135,
1430781116127,704817,view,118549,
1430784757538,526629,view,87557,
1430783443322,827464,view,167750,
1430782981402,758846,view,114971,
1430784231977,678428,view,112867,
1430784231931,814971,view,196173,
1430785147674,1323185,view,363022,
1430781652050,191550,view,55701,
1430785312876,99319,addtocart,156457,
1430781380689,913861,view,353919,
1430785047450,329328,view,323707,
1430783577452,1110062,view,118149,
1430780923117,1348630,view,348412,
1430785045820,1331983,view,105873,
1430781662853,412595,view,179577,
1430781376713,282475,view,192792,
1430784197046,436124,view,176620,
1430785530758,253168,view,378310,
1430784190679,626394,view,63449,
1430785532921,813744,view,32730,
1430781250521,504682,view,257089,
1430784186531,626394,view,129326,
1430784184347,910991,view,102229,
1430781672102,109277,view,263025,
1430784791401,663032,view,320130,
1430782318913,1135896,view,286105,
1430784172236,281264,view,154534,
1430784168099,424859,view,142466,
1430784796978,256891,view,130496,
1430784802640,609499,view,137787,
1430782569330,824897,view,126125,
1430782767323,1111668,view,275773,
1430785715677,358781,view,311585,
1430781694400,899897,view,426598,
1430784131613,240351,view,133332,
1430785293173,707264,view,101288,
1430784816632,609499,view,23496,
1430784126664,116455,view,241044,
1430784964201,303597,view,87426,
1430785211865,201537,view,137059,
1430784822845,722379,view,131638,
1430780997136,722396,view,286314,
1430780900345,997600,view,151636,
1430780853260,460100,view,435953,
1430784098917,956212,view,465421,
1430782609379,1028983,view,1096,
1430781256274,833815,view,220513,
1430784093668,739440,view,344779,
1430780925423,1322279,view,253711,
1430785573377,986325,view,369447,
1430785280166,55878,view,426310,
1430784061929,740123,view,446934,
1430782374419,1062987,view,254432,
1430781735357,710338,view,72999,
1430784868965,740123,view,334401,
1430780926525,54546,view,101872,
1430785273646,1114249,view,412486,
1430784025627,1043664,view,294267,
1430784015673,843757,view,403969,
